No,Student ID,Full Name,Last Name,First Name,Birth,Gender,Social ID
1,22120001,BUI DUY AN,BUI,DUY AN,5/8/2004,male,62204005312
2,22120002,DO QUANG AN,DO,QUANG AN,5/9/2004,male,62204005313
3,22120003,LE NGUYEN THIEN AN,LE,NGUYEN THIEN AN,5/10/2004,female,62204005314
4,22120004,LE THINH AN,LE,THINH AN,5/11/2004,male,62204005315
5,22120006,NGUYEN PHAN TRUONG AN,NGUYEN,PHAN TRUONG AN,5/12/2004,male,62204005316
6,22120007,NGUYEN TRUONG AN,NGUYEN,TRUONG AN,6/1/2004,male,62204005317
7,22120008,PHAM THIEN AN,PHAM,THIEN AN,6/2/2004,female,62204005318
8,22120009,TRUONG VINH AN,TRUONG,VINH AN,6/3/2004,male,62204005319
9,22120010,HOANG TUAN ANH,HOANG,TUAN ANH,6/4/2004,male,62204005320
10,22120011,LE TUAN ANH,LE,TUAN ANH,6/5/2004,male,62204005321
11,22120013,NGUYEN DUC ANH,NGUYEN,DUC ANH,6/6/2004,male,62204005322
12,22120014,NGUYEN HOANG ANH,NGUYEN,HOANG ANH,6/7/2004,male,62204005323
13,22120015,NGUYEN TAN DUY ANH,NGUYEN,TAN DUY ANH,6/8/2004,male,62204005324
14,22120016,TRAN HUNG ANH,TRAN,HUNG ANH,6/9/2004,male,62204005325
15,22120017,TRUONG TIEN ANH,TRUONG,TIEN ANH,6/10/2004,male,62204005326
16,22120018,VU DUY BAC,VU,DUY BAC,6/11/2004,male,62204005327
17,22120019,BAN HUU BANG,BAN,HUU BANG,6/12/2004,male,62204005328
18,22120020,CAO GIA BAO,CAO,GIA BAO,4/4/2004,male,62204005329
19,22120021,HUYNH THAI BAO,HUYNH,THAI BAO,4/5/2004,male,62204005330
20,22120022,LE BAO,LE,BAO,4/6/2004,male,62204005331
21,22120023,LE NGUYEN GIA BAO,LE,NGUYEN GIA BAO,4/7/2004,male,62204005332
22,22120024,NGUYEN HOANG BAO,NGUYEN,HOANG BAO,4/8/2004,male,62204005333
23,22120026,PHAN MINH GIA BAO,PHAN,MINH GIA BAO,4/9/2004,male,62204005334
24,22120027,THAI BAO,THAI,BAO,4/10/2004,male,62204005335
25,22120028,TRUONG DUONG BAO,TRUONG,DUONG BAO,4/11/2004,male,62204005336
26,22120029,NGUYEN HUU BEN,NGUYEN,HUU BEN,4/12/2004,male,62204005337
27,22120030,BUI VIET BINH,BUI,VIET BINH,5/12/2004,male,62204005338
28,22120031,NGUYEN HUU BINH,NGUYEN,HUU BINH,6/12/2004,male,62204005339
29,22120032,TRAN THANH BINH,TRAN,THANH BINH,7/12/2004,male,62204005340
30,22120033,PHAN CO?NG CHA?U,PHAN,CO?NG CHA?U,8/12/2004,male,62204005341
31,22120034,LUONG THI KIM CHI,LUONG,THI KIM CHI,9/12/2004,female,62204005342
32,22120035,DUONG THIEN CHI,DUONG,THIEN CHI,10/12/2004,male,62204005343
33,22120036,DAO MINH CHIEN,DAO,MINH CHIEN,11/12/2004,male,62204005344
34,22120037,NGUYEN VAN CHIEN,NGUYEN,VAN CHIEN,12/12/2004,male,62204005345
35,22120040,TRUONG VIET CONG,TRUONG,VIET CONG,1/12/2004,male,62204005346
36,22120041,DO QUOC CUOM,DO,QUOC CUOM,2/12/2004,male,62204005347
37,22120042,DO NGOC CUONG,DO,NGOC CUONG,3/12/2004,male,62204005348
38,22120043,DOAN MINH CUONG,DOAN,MINH CUONG,4/12/2004,male,62204005349
39,22120046,NGUYEN NGOC DANG,NGUYEN,NGOC DANG,5/12/2004,male,62204005350
40,22120047,TRAN XUAN DANG,TRAN,XUAN DANG,6/12/2004,male,62204005351
41,22120048,NGUYEN CHI DANH,NGUYEN,CHI DANH,7/12/2004,male,62204005352
42,22120050,HO MANH DAO,HO,MANH DAO,8/12/2004,male,62204005353
43,22120051,PHAN LONG DAO,PHAN,LONG DAO,9/12/2004,male,62204005354
44,22120052,DANG NGOC QUOC DAT,DANG,NGOC QUOC DAT,10/12/2004,male,62204005355
45,22120053,LE THANH DAT,LE,THANH DAT,11/12/2004,male,62204005356
46,22120054,LE VAN THANH DAT,LE,VAN THANH DAT,12/12/2004,male,62204005357
47,22120056,NGUY THANH DAT,NGUY,THANH DAT,1/1/2004,male,62204005358
48,22120057,NGUYEN TAN DAT,NGUYEN,TAN DAT,1/2/2004,male,62204005359
49,22120058,NGUYEN THANH DAT,NGUYEN,THANH DAT,1/3/2004,male,62204005360
50,22120059,TRAN MINH DAT,TRAN,MINH DAT,2/2/2004,male,62204005361
51,22120061,VU THE TUAN DAT,VU,THE TUAN DAT,3/3/2004,male,62204005362
52,22120062,NGUYEN DANG DIEN,NGUYEN,DANG DIEN,4/2/2004,male,62204005363
53,22120063,NGO PHUONG DONG,NGO,PHUONG DONG,5/2/2004,male,62204005364
54,22120064,NGUYEN TAN DONG,NGUYEN,TAN DONG,6/1/2004,male,62204005365
55,22120065,TRAN DAI DONG,TRAN,DAI DONG,7/1/2004,male,62204005366
56,22120066,BUI ANH DUC,BUI,ANH DUC,5/3/2004,male,62204005367
57,22120067,LAM HONG ANH DUC,LAM,HONG ANH DUC,5/4/2004,male,62204005368
58,22120069,NGUYEN DUY DUC,NGUYEN,DUY DUC,5/5/2004,male,62204005369
59,22120070,NGUYEN THANH DUC,NGUYEN,THANH DUC,5/6/2004,male,62204005370
60,22120071,PHAN BA DUC,PHAN,BA DUC,3/1/2004,male,62204005371
